#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 21 999 99.0 99.0  2.72 10.53  7.45  61 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 00 51 999 99.0 99.0  2.46  9.88  7.22  70 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 01 21 999 99.0 99.0  2.47 10.53  7.24  69 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 02 21 999 99.0 99.0  2.47  9.88  7.01  67 9999.0 999.0  27.9 999.0 99.0 99.00
2016 01 01 02 51 999 99.0 99.0  2.57 11.11  6.98  71 9999.0 999.0  27.9 999.0 99.0 99.00
2016 01 01 03 21 999 99.0 99.0  2.53 11.11  7.15  63 9999.0 999.0  27.9 999.0 99.0 99.00
2016 01 01 03 51 999 99.0 99.0  2.52  9.09  6.58  50 9999.0 999.0  27.9 999.0 99.0 99.00
2016 01 01 04 21 999 99.0 99.0  2.64  9.88  6.76  61 9999.0 999.0  27.9 999.0 99.0 99.00
2016 01 01 04 51 999 99.0 99.0  2.47 10.53  6.76  61 9999.0 999.0  27.9 999.0 99.0 99.00
2016 01 01 05 21 999 99.0 99.0  2.46 11.11  6.79  76 9999.0 999.0  27.9 999.0 99.0 99.00
2016 01 01 06 21 999 99.0 99.0  2.62 10.53  6.82  60 9999.0 999.0  27.9 999.0 99.0 99.00
2016 01 01 06 51 999 99.0 99.0  2.64 11.11  6.85  74 9999.0 999.0  27.9 999.0 99.0 99.00
2016 01 01 07 21 999 99.0 99.0  2.42  9.88  6.56  66 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 07 51 999 99.0 99.0  2.57  9.88  6.90  87 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 08 21 999 99.0 99.0  2.61  9.88  7.00  74 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 08 51 999 99.0 99.0  2.27 10.53  6.74  84 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 09 21 999 99.0 99.0  2.37  9.09  6.62  53 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 10 51 999 99.0 99.0  2.58 10.53  6.67  59 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 11 21 999 99.0 99.0  2.49 10.53  6.66  64 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 11 51 999 99.0 99.0  2.55 11.11  6.81  59 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 12 21 999 99.0 99.0  2.28  9.09  6.62  54 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 12 51 999 99.0 99.0  2.43  9.88  6.64  59 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 14 21 999 99.0 99.0  2.38 10.53  6.75  61 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 14 51 999 99.0 99.0  2.30  9.88  6.45  39 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 15 21 999 99.0 99.0  2.53 10.53  6.93  54 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 15 51 999 99.0 99.0  2.53 10.53  6.57  69 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 16 21 999 99.0 99.0  2.61 10.53  6.45  71 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 16 51 999 99.0 99.0  2.55  9.09  6.50  36 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 17 21 999 99.0 99.0  2.50 10.53  6.52  53 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 18 21 999 99.0 99.0  2.51 11.11  6.65  64 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 18 51 999 99.0 99.0  2.56 11.11  7.10  77 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 19 21 999 99.0 99.0  2.77 10.53  7.33  69 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 19 51 999 99.0 99.0  2.62 11.11  7.04  64 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 20 21 999 99.0 99.0  2.66  9.09  6.87  53 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 01 20 51 999 99.0 99.0  2.63  9.88  6.82  71 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 01 21 21 999 99.0 99.0  2.81  9.88  6.91  71 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 01 22 21 999 99.0 99.0  2.68 10.53  6.56  76 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 01 22 51 999 99.0 99.0  2.71 10.53  6.64  67 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 01 23 21 999 99.0 99.0  2.70 10.53  6.50  74 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 01 23 51 999 99.0 99.0  2.88  9.88  6.86  60 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 00 51 999 99.0 99.0  2.77  8.33  6.62  52 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 01 21 999 99.0 99.0  2.79 11.11  6.64  50 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 02 21 999 99.0 99.0  2.89 10.53  7.10  64 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 02 51 999 99.0 99.0  2.69 11.11  6.42  73 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 03 21 999 99.0 99.0  2.93 11.11  6.85  66 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 03 51 999 99.0 99.0  2.80 10.53  6.67  59 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 04 51 999 99.0 99.0  2.59 11.11  6.64  71 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 05 21 999 99.0 99.0  2.61  9.88  6.50  57 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 06 21 999 99.0 99.0  2.52 11.11  6.50  78 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 06 51 999 99.0 99.0  2.51  8.33  6.38  60 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 07 21 999 99.0 99.0  2.59 10.53  6.52  61 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 07 51 999 99.0 99.0  2.52  9.88  6.67  56 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 08 51 999 99.0 99.0  2.47  9.88  6.66  78 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 09 21 999 99.0 99.0  2.58 11.11  6.90  74 9999.0 999.0  27.8 999.0 99.0 99.00
